clinic_name,school_name,school_address
MSHP Elementary,P.S. 8,"3010 Briggs Avenue Bronx, New York 10458"
MSHP Elementary,P.S. 85," 2400 Marion Avenue Bronx, New York 10458"
MSHP Elementary,P.S. 199 ,"1449 Shakespeare Avenue Bronx, New York 10462"
MSHP Elementary,P.S. 105 ,"725 Brady Avenue Bronx, New York 10462"
MSHP Elementary,P.S. 28 ,"1861 Anthony Avenue Bronx, New York 10457"
MSHP Elementary,P.S. 147 ,"1600 Webster Avenue Bronx, New York 10457"
MSHP Elementary,P.S. 55 ,"450 St. Paul’s Place Bronx, New York 10456"
MSHP Elementary,P.S. 198 ,"1180 Tinton Avenue Bronx, New York 10456"
MSHP Middle School,M.S. 45 ,"2502 Lorillard Place Bronx, New York 10458"
MSHP Middle School,M.S. 145 ,"1002 Teller Avenue Bronx, New York 10456"
MSHP Middle School,New Settlement Community Campus ,"1501 Jerome Avenue Bronx, NY 10452"
MSHP Middle School,P.S. / M.S. 95 ,"3961 Hillman Avenue Bronx, New York 10463"
MSHP Middle School,I.S. 174 ,"456 White Plains Road 3 Rd Floor, Room #39 Bronx, New York 10473"
MSHP Middle School,M.S. 113 ,"3710 Barnes Avenue Bronx, New York 10467"
MSHP Middle School,"I.S. 217, Entrada Academy & Charter School ","977 Fox Street Bronx, New York 10459"
MSHP Middle School,M.S. 142,"3750 Baychester Avenue Bronx, New York 10466"
MSHP Middle School,JHS 151/KIPP Academy HS,250 Thurman Munson Way #236 Bronx NY 10451
MSHP High School,Bronx Regional High School,"979 Rogers Place Bronx, New York 10459"
MSHP High School,IS 98/ Herman Ridder Campus ,1619 Boston Road Bronx NY 10460
MSHP High School,Christopher Columbus Campus,"925 Astor Avenue Bronx, NY 10469"
MSHP High School,Evander Childs Campus,"800 East Gun Hill Road Bronx, New York 10467"
MSHP High School,DeWitt Clinton High School ,"100. W. Mosholu Parkway So Bronx, New York 10468"
MSHP High School,Herbert H. Lehman Campus ,"3000 East Tremont Avenue Bronx, New York 10461"
MSHP High School,Morris Campus ,"1110 Boston Road Bronx, New York 10456"
MSHP High School,Roosevelt Campus,"500 East Fordham Road Bronx, New York 10458"
MSHP High School,Mott Haven Campus ,730 Concourse Village W. RM C29 Bronx NY 10451
MSHP High School,Walton Campus,"2780 Reservoir Avenue Bronx, New York 10468"
MSHP High School,South Bronx Campus ,"701 St. Ann’s Avenue Bronx, New York 10455"
MSHP High School,Adlai E. Stevenson Campus ,"1980 Lafayette Avenue Room 273 Bronx, NY 10473"
MSHP High School,William Howard Taft Campus ,"240 East 172nd Street Bronx, New York 10457"