dbn,school_name,address,lat,lon,district,school_type,grades,has_mshp,chronic_absenteeism_rate,enrollment
75M401,Hospital Schools,3450 EAST TREMONT AVENUE,40.831829,-73.827642,8,Other,"01,02,03,04,05,06,07,08,09,10,11,12,SE",False,,
75M501,Home Instruction,3450 EAST TREMONT AVENUE,40.831829,-73.827642,8,Other,"01,02,03,04,05,06,07,08,09,10,11,12",False,,
07X001,P.S. 001 Courtlandt School,335 EAST 152 STREET,40.819331,-73.919634,7,Elementary,"PK,0K,01,02,03,04,05",False,37.3601799,447.0
10X003,P.S. 3 Raul Julia Micro Society,2100 LAFONTAINE AVENUE,40.850131,-73.89163,10,Elementary,"PK,0K,01,02,03,04,05,06,07,08",False,44.30769348,325.0
09X004,P.S./M.S. 004 Crotona Park West,1701 FULTON AVENUE,40.841758,-73.897943,9,Middle School,"0K,01,02,03,04,05,06,07,08",False,45.81673431,251.0
07X005,P.S. 5 Port Morris,564 JACKSON AVENUE,40.813896,-73.908358,7,Elementary,"PK,0K,01,02,03,04,05,06,07,08",False,23.98884201,717.0
12X006,P.S. 006 West Farms,1000 EAST TREMONT AVENUE,40.840445,-73.882531,12,Elementary,"PK,0K,01,02,03,04,05",False,53.34685516,493.0
10X007,Milton Fein School,3201 KINGSBRIDGE AVENUE,40.881562,-73.905697,10,Other,"0K,01,02,03,04,05",False,22.25063896,391.0
10X008,P.S. 008 Isaac Varian,3010 BRIGGS AVENUE,40.872259,-73.883339,10,Elementary,"0K,01,02,03,04,05",True,37.57225418,692.0
10X009,P.S. 9 Ryer Avenue Elementary School,230 EAST 183 STREET,40.85644,-73.898821,10,Elementary,"PK,0K,01,02,03,04,05",False,38.24091721,523.0
75X010,P.S. X010,2750 LAFAYETTE AVENUE,40.82708,-73.829211,8,Elementary,"PK,0K,01,02,SE",False,,
09X011,P.S. 011 Highbridge,1257 OGDEN AVENUE,40.839693,-73.92589,9,Elementary,"0K,01,02,03,04",False,37.89954376,438.0
75X012,P.S. X012 Lewis and Clark School,2555 TRATMAN AVENUE,40.840625,-73.844685,11,Elementary,"03,04,05,06,07,08,09,10,11,12,SE",False,,
08X014,P.S. X014 Senator John Calandra,3047 BRUCKNER BOULEVARD,40.835318,-73.826277,8,Elementary,"0K,01,02,03,04,05",False,40.05235672,764.0
10X015,P.S. X015 Institute for Environmental Learning,2195 ANDREWS AVENUE,40.859243,-73.909763,10,Elementary,"0K,01,02,03,04,05,06,07,08",False,32.32323074,396.0
11X016,P.S. 016 Wakefield,4550 CARPENTER AVENUE,40.902311,-73.854231,11,Elementary,"PK,0K,01,02,03,04,05",False,42.30769348,390.0
75X017,P.S. X017,778 FOREST AVENUE,40.818703,-73.905389,7,Elementary,"01,02,03,04,05,06,07,08,09,SE",False,,
07X018,P.S. 018 John Peter Zenger,502 MORRIS AVENUE,40.816369,-73.922697,7,Elementary,"PK,0K,01,02,03,04,05",True,35.714286799999996,322.0
11X019,P.S. 019 Judith K. Weiss,4318 KATONAH AVENUE,40.899351,-73.866949,11,Elementary,"0K,01,02,03,04,05,06,07,08",False,17.09401703,702.0
10X020,"PS/MS 20 P.O.George J. Werdann, III",3050 WEBSTER AVENUE,40.869482,-73.878731,10,Other,"PK,0K,01,02,03,04,05,06,07,08",False,43.80069351,863.0
11X021,P.S. 021 Philip H. Sheridan,715 EAST 225 STREET,40.887888,-73.85942,11,Elementary,"0K,01,02,03,04,05",False,30.6866951,466.0
09X022,J.H.S. 022 Jordan L. Mott,270 EAST 167 STREET,40.832022,-73.91435,9,Middle School,"05,06,07,08",False,41.9141922,303.0
10X023,P.S. 023 The New Children's School,2151 WASHINGTON AVENUE,40.853294,-73.894951,10,Elementary,"PK,0K,01,02,03,04,05",False,41.860466,387.0
10X024,P.S. 024 Spuyten Duyvil,660 WEST 236 STREET,40.886922,-73.915114,10,Elementary,"0K,01,02,03,04,05",False,12.847682,755.0
07X025,P.S. 025 Bilingual School,811 EAST 149 STREET,40.812895,-73.905751,7,Elementary,"PK,0K,01,02,03,04,05,SE",False,25.11520767,434.0
09X028,P.S. 028 Mount Hope,1861 ANTHONY AVENUE,40.848344,-73.903821,9,Elementary,"PK,0K,01,02,03,04,05",True,40.06462097,619.0
07X029,P.S./M.S. 029 Melrose School,758 COURTLANDT AVENUE,40.821544,-73.916419,7,Middle School,"PK,0K,01,02,03,04,05,06,07,08",False,33.04093552,684.0
07X030,P.S. 030 Wilton,510 EAST 141 STREET,40.809023,-73.917417,7,Elementary,"PK,0K,01,02,03,04,05",False,38.30334091,389.0
07X031,P.S./M.S. 031 The William Lloyd Garrison,250 EAST 156 STREET,40.822574,-73.92114,7,Middle School,"PK,0K,01,02,03,04,05,06,07,08",True,29.10569191,615.0
10X032,P.S. 032 Belmont,690 EAST 183 STREET,40.851724,-73.88622,10,Elementary,"0K,01,02,03,04,05",False,48.32775879,598.0
10X033,P.S. 033 Timothy Dwight,2424 JEROME AVENUE,40.861698,-73.901268,10,Elementary,"PK,0K,01,02,03,04,05",False,49.70553589,849.0
09X035,P.S. 035 Franz Siegel,261 EAST 163 STREET,40.828009,-73.917705,9,Elementary,"0K,01,02,03,04,05",False,38.55721283,402.0
08X036,P.S. 036 Unionport,1070 CASTLE HILL AVENUE,40.82948,-73.849791,8,Elementary,"PK,0K,01,02,03,04,05",False,40.95890427,730.0
10X037,P.S. X037 - Multiple Intelligence School,360 WEST 230 STREET,40.877935,-73.913694,10,Elementary,"0K,01,02,03,04,05,06,07,08",False,53.81443405,485.0
11X041,P.S. 041 Gun Hill Road,3352 OLINVILLE AVENUE,40.874754,-73.867834,11,Elementary,"0K,01,02,03,04,05",False,49.06204987,693.0
09X042,P.S. 042 Claremont,1537 WASHINGTON AVENUE,40.838636,-73.903243,9,Elementary,"PK,0K,01,02,03,04,05",False,51.38539124,397.0
07X043,P.S. 043 Jonas Bronck,165 BROWN PLACE,40.806452,-73.921593,7,Elementary,"PK,0K,01,02,03,04,05",False,26.90355301,394.0
12X044,P.S. 044 David C. Farragut,1825 PROSPECT AVENUE,40.842564,-73.891086,12,Elementary,"PK,0K,01,02,03,04,05",False,50.92592621,216.0
10X045,Thomas C. Giordano Middle School 45,2502 LORILLARD PLACE,40.858389,-73.887026,10,Middle School,"06,07,08",False,39.61455917,467.0
10X046,P.S. 046 Edgar Allan Poe,279 EAST 196 STREET,40.867169,-73.890402,10,Elementary,"0K,01,02,03,04,05",False,30.46757126,663.0
12X047,P.S. 047 John Randolph,1794 EAST 172 STREET,40.832529,-73.866974,12,Elementary,"0K,01,02,03,04,05",False,35.02304077,868.0
08X048,P.S. 048 Joseph R. Drake,1290 SPOFFORD AVENUE,40.814034,-73.886834,8,Elementary,"PK,0K,01,02,03,04,05",False,51.6831665,505.0
07X049,P.S. 049 Willis Avenue,383 EAST 139 STREET,40.810413,-73.92273,7,Elementary,"PK,0K,01,02,03,04,05",False,34.46327591,531.0
10X051,The Bronx STEM and Arts Academy,695 EAST 182ND STREET,40.850674,-73.886997,10,High School,"0K,01,02,03,04,05",False,41.29032135,155.0
09X053,P.S. 053 Basheer Quisim,360 EAST 168 STREET,40.832648,-73.911906,9,Elementary,"PK,0K,01,02,03,04,05",False,40.08683014,691.0
10X054,P.S./I.S. 54,2703 WEBSTER AVENUE,40.864872,-73.88794,10,Middle School,"PK,0K,01,02,03,04,05",False,37.96791458,374.0
09X055,P.S. 055 Benjamin Franklin,450 SAINT PAUL'S PLACE,40.835934,-73.90497,9,Elementary,"PK,0K,01,02,03,04,05",True,45.30685806,554.0
10X056,P.S. 056 Norwood Heights,341 EAST 207 STREET,40.875481,-73.874912,10,Elementary,"0K,01,02,03,04,05",False,39.42598343,662.0
12X057,P.S. 057 Crescent,2111 CROTONA AVENUE,40.848748,-73.888987,12,Elementary,"PK,0K,01,02,03,04,05",False,43.13725662,408.0
09X058,P.S. 058,459 EAST 176 STREET,40.846383,-73.898826,9,Elementary,"0K,01,02,03,04,05,06",False,43.57366943,319.0
10X059,P.S. 059 The Community School of Technology,2185 BATHGATE AVENUE,40.853141,-73.893639,10,Elementary,"PK,0K,01,02,03,04,05",False,43.88489151,417.0
12X061,P.S. 061 Francisco Oller,1550 CROTONA PARK EAST,40.836156,-73.892784,12,Elementary,"PK,0K,01,02,03,04,05",False,37.43589783,195.0
08X062,P.S. 062 Inocensio Casanova,660 FOX STREET,40.813736,-73.900161,8,Elementary,"PK,0K,01,02,03,04,05",False,41.97530746,486.0
09X063,P.S. 063 Author's Academy,1260 FRANKLIN AVENUE,40.83093,-73.901859,9,Elementary,"PK,0K,01,02,03,04,05",False,40.14778137,406.0
07X065,P.S. 065 Mother Hale Academy,677 EAST 141 STREET,40.807916,-73.912557,7,Elementary,"PK,0K,01,02,03,04,05",False,32.92683029,246.0
12X066,P.S. 066 School of Higher Expectations,1001 JENNINGS STREET,40.831493,-73.88654,12,Elementary,"PK,0K,01,02,03,04,05",False,33.39731216,521.0
12X067,P.S. 067 Mohegan School,2024 MOHEGAN AVENUE,40.843781,-73.884192,12,Elementary,"PK,0K,01,02,03,04,05",False,45.77259445,343.0
11X068,P.S. 068 Bronx,4011 MONTICELLO AVENUE,40.891603,-73.83888,11,Elementary,"PK,0K,01,02,03,04,05",False,37.0370369,540.0
08X069,P.S. 069 Journey Prep School,560 THIERIOT AVENUE,40.8167,-73.86046,8,Elementary,"PK,0K,01,02,03,04,05",False,38.97637939,508.0
09X070,P.S. 070 Max Schoenfeld,1691 WEEKS AVENUE,40.844236,-73.90807,9,Elementary,"0K,01,02,03,04,05",False,40.14598465,822.0
08X071,P.S. 071 Rose E. Scala,3040 ROBERTS AVENUE,40.845379,-73.829562,8,Elementary,"PK,0K,01,02,03,04,05,06,07,08",False,34.85513687,1139.0
08X072,P.S. 072 Dr. William Dorney,2951 DEWEY AVENUE,40.823237,-73.818172,8,Elementary,"PK,0K,01,02,03,04,05,SE",False,47.14064789,647.0
09X073,P.S. 073 Bronx,1020 ANDERSON AVENUE,40.832609,-73.926415,9,Elementary,"PK,0K,01,02,03,04,05",False,53.45911789,318.0
08X075,P.S. 75 School of Research and Discovery,984 FAILE STREET,40.822314,-73.888948,8,Elementary,"PK,0K,01,02,03,04,05",False,39.12248611,547.0
11X076,P.S. 076 The Bennington School,900 ADEE AVENUE,40.869059,-73.860928,11,Elementary,"0K,01,02,03,04,05",False,47.06790161,648.0
10X077,Bedford Park Elementary School,3177 WEBSTER AVENUE,40.872559,-73.875375,10,Elementary,"0K,01,02,03,04,05",False,42.30769348,468.0
11X078,P.S. 078 Anne Hutchinson,1400 NEEDHAM AVENUE,40.878474,-73.850563,11,Elementary,"0K,01,02,03,04,05",False,49.02507019,718.0
10X080,J.H.S. 080 The Mosholu Parkway,149 EAST MOSHOLU PKWY N,40.876819,-73.881245,10,Middle School,"06,07,08",False,36.39291382,621.0
10X081,P.S. 081 Robert J. Christen,5550 RIVERDALE AVENUE,40.903275,-73.904657,10,Elementary,"0K,01,02,03,04,05",False,24.11444092,734.0
11X083,P.S. 083 Donald Hertz,950 RHINELANDER AVENUE,40.849176,-73.858769,11,Elementary,"0K,01,02,03,04,05,06,07,08",False,25.14249611,1579.0
10X085,P.S. 085 Great Expectations,2400 MARION AVENUE,40.858689,-73.894682,10,Elementary,"0K,01,02,03,04,05",True,33.07888031,786.0
10X086,P.S. 086 Kingsbridge Heights,2756 RESERVOIR AVENUE,40.869061,-73.897066,10,Elementary,"PK,0K,01,02,03,04,05,06",False,37.40326691,1163.0
11X087,P.S. 087 Bronx,1935 BUSSING AVENUE,40.895741,-73.846198,11,Elementary,"0K,01,02,03,04,05",False,32.47126389,348.0
09X088,P.S. X088 - S. Silverstein Little Sparrow School,1340 SHERIDAN AVENUE,40.837019,-73.913523,9,Elementary,"PK,0K,01,02,03",False,29.80769157,104.0
11X089,P.S. 089 Bronx,980 MACE AVENUE,40.862481,-73.859254,11,Elementary,"PK,0K,01,02,03,04,05,06,07,08",False,42.02551651,1254.0
10X091,P.S. 091 Bronx,2200 AQUEDUCT AVENUE,40.858286,-73.907494,10,Elementary,"0K,01,02,03,04,05",False,43.96984863,398.0
08X093,P.S. 093 Albert G. Oliver,1535 STORY AVENUE,40.822522,-73.877274,8,Elementary,"PK,0K,01,02,03,04,05",False,48.51485062,404.0
10X094,P.S. 094 Kings College School,3530 KINGS COLLEGE PLACE,40.880661,-73.875268,10,Elementary,"0K,01,02,03,04,05",False,40.95940781,813.0
10X095,P.S. 095 Sheila Mencher,3961 HILLMAN AVENUE,40.883049,-73.891664,10,Elementary,"PK,0K,01,02,03,04,05,06,07,08",True,43.07359314,924.0
11X096,P.S. 096 Richard Rodgers,2385 OLINVILLE AVENUE,40.86073,-73.868986,11,Elementary,"0K,01,02,03,04,05",False,29.63752747,938.0
11X097,P.S. 097 Bronx,1375 MACE AVENUE,40.863524,-73.846768,11,Elementary,"PK,0K,01,02,03,04,05",False,39.39393997,627.0
12X098,J.H.S. 098 Herman Ridder,1619 BOSTON ROAD,40.836245,-73.890591,12,Middle School,"06,07,08",False,,
08X100,P.S. 100 Isaac Clason,800 TAYLOR AVENUE,40.822552,-73.86276,8,Elementary,"PK,0K,01,02,03,04,05",False,43.4322052,472.0
08X101,M.S. X101 Edward R. Byrne,2750 LAFAYETTE AVENUE,40.82708,-73.829211,8,Middle School,"06,07,08",False,24.14966011,588.0
11X103,P.S. 103 Hector Fontanez,4125 CARPENTER AVENUE,40.892198,-73.86194,11,Elementary,"0K,01,02,03,04,05",False,43.70034027,881.0
11X105,P.S. 105 Sen Abraham Bernstein,725 BRADY AVENUE,40.853075,-73.866264,11,Elementary,"0K,01,02,03,04,05",True,47.73040009,727.0
11X106,P.S. 106 Parkchester,1514 OLMSTEAD AVENUE,40.836974,-73.854823,11,Elementary,"PK,0K,01,02,03,04,05",False,36.87150955,895.0
08X107,P.S. 107,1695 SEWARD AVENUE,40.819221,-73.868735,8,Elementary,"PK,0K,01,02,03,04,05",False,46.78492355,451.0
11X108,P.S. 108 Philip J. Abinanti,1166 NEILL AVENUE,40.8547,-73.8532,11,Elementary,"0K,01,02,03,04,05",False,18.28410721,711.0
09X109,P.S. 109 Sedgwick,1771 POPHAM AVENUE,40.851661,-73.918991,9,Elementary,"PK,0K,01,02,03,04,05",False,50.32966995,455.0
09X110,P.S. 110 Theodore Schoenfeld,580 CROTONA PARK SOUTH,40.83447,-73.900654,9,Elementary,"PK,0K,01,02,03,04,05",False,47.59036255,332.0
11X111,P.S. 111 Seton Falls,3740 BAYCHESTER AVENUE,40.884371,-73.839288,11,Elementary,"PK,0K,01,02,03,04,05",False,53.3482132,448.0
11X112,P.S. 112 Bronxwood,1925 SCHIEFFELIN AVENUE,40.88494,-73.843977,11,Elementary,"PK,0K,01,02,03,04,05",False,46.98492432,398.0
09X114,P.S. X114 - Luis Llorens Torres Schools,1155 CROMWELL AVENUE,40.834979,-73.923297,9,Elementary,"0K,01,02,03,04",False,41.11111069,540.0
09X117,I.S. 117 Joseph H. Wade,1865 MORRIS AVENUE,40.848552,-73.909022,9,Middle School,"06,07,08",False,38.08219147,365.0
10X118,J.H.S. 118 William W. Niles,577 EAST 179 STREET,40.848702,-73.892482,10,Middle School,"06,07,08",False,34.23077011,520.0
08X119,The Dr. Emmett W. Bassett School,1075 PUGSLEY AVENUE,40.828474,-73.857392,8,Other,"PK,0K,01,02,03,04,05",False,37.34513092,565.0
11X121,P.S. 121 Throop,2750 THROOP AVENUE,40.866474,-73.85051,11,Elementary,"PK,0K,01,02,03,04,05",False,39.90825653,654.0
08X123,J.H.S. 123 James M. Kieran,1025 MORRISON AVENUE,40.824989,-73.874162,8,Middle School,"06,07,08",False,41.09589005,511.0
09X126,P.S. 126 Dr Marjorie H Dunbar,175 WEST 166 STREET,40.835866,-73.9282,9,Elementary,"PK,0K,01,02,03,04,05,06",False,52.4054985,582.0
11X127,J.H.S. 127 The Castle Hill,1560 PURDY STREET,40.838759,-73.853203,11,Middle School,"06,07,08",False,27.41358757,839.0
09X128,Mott Hall III,580 CROTONA PARK SOUTH,40.83447,-73.900654,9,Other,"06,07,08",False,47.95918274,294.0
12X129,M.S. 129 Academy for Independent Learning and Lead,2055 MAPES AVENUE,40.846128,-73.886721,12,Middle School,"06,07,08",False,32.80632401,253.0
08X130,P.S. 130 Abram Stevens Hewitt,750 PROSPECT AVENUE,40.817742,-73.901709,8,Elementary,"PK,0K,01,02,03,04,05",False,43.37349319,332.0
08X131,J.H.S. 131 Albert Einstein,885 BOLTON AVENUE,40.822925,-73.859998,8,Middle School,"06,07,08",False,44.02332306,343.0
09X132,P.S. 132 Garret A. Morgan,1245 WASHINGTON AVENUE,40.832175,-73.907133,9,Elementary,"PK,0K,01,02,03,04,05",False,58.0,400.0
12X134,P.S. 134 George F. Bristow,1330 BRISTOW STREET,40.831613,-73.894241,12,Elementary,"PK,0K,01,02,03,04,05",False,42.49011993,506.0
08X138,P.S. 138 Samuel Randall,2060 LAFAYETTE AVENUE,40.822288,-73.853157,8,Elementary,"PK,0K,01,02,03,04,05",False,53.05755234,556.0
08X140,P.S. X140 The Eagle School,916 EAGLE AVENUE,40.823318,-73.907489,8,Elementary,"PK,0K,01,02,03,04,05",False,53.84615326,390.0
10X141,Riverdale / Kingsbridge Academy (Middle School / H,660 WEST 237 STREET,40.887407,-73.914141,10,Middle School,"06,07,08,09,10,11,12",False,18.87719345,1425.0
11X144,J.H.S. 144 Michelangelo,2545 GUNTHER AVENUE,40.863842,-73.836525,11,Middle School,"06,07,08",False,38.53658676,410.0
08X146,P.S. 146 Edward Collins,968 CAULDWELL AVENUE,40.824717,-73.905734,8,Elementary,"PK,0K,01,02,03,04,05",False,40.80996704,321.0
12X150,P.S. 150 Charles James Fox,920 EAST 167 STREET,40.82471,-73.894349,12,Elementary,"PK,0K,01,02,03,04,05",False,46.58273315,556.0
07X151,J.H.S. 151 Lou Gehrig,250 EAST 156 STREET,40.822574,-73.92114,7,Middle School,"06,07,08",False,,
08X152,P.S. 152 Evergreen,1007 EVERGREEN AVENUE,40.823941,-73.880479,8,Elementary,"PK,0K,01,02,03,04,05,SE",False,43.46630096,727.0
11X153,P.S. 153 Helen Keller,650 BAYCHESTER AVENUE,40.874035,-73.831669,11,Elementary,"0K,01,02,03,04,05",False,22.92576408,458.0
07X154,P.S. 154 Jonathan D. Hyatt,333 EAST 135 STREET,40.808194,-73.925459,7,Elementary,"PK,0K,01,02,03,04,05",False,25.0,240.0
07X157,P.S. 157 Grove Hill,757 CAULDWELL AVENUE,40.819419,-73.908965,7,Elementary,"PK,0K,01,02,03,04,05",False,35.26570129,414.0
10X159,P.S. 159 Luis Munoz Marin Biling,2315 WASHINGTON AVENUE,40.85568,-73.893136,10,Elementary,"0K,01,02,03,04,05",False,27.39726067,146.0
11X160,P.S. 160 Walt Disney,4140 HUTCHINSON RIVER PKWAY EA,40.864073,-73.823816,11,Elementary,"0K,01,02,03,04,05",False,25.24590111,305.0
07X161,P.S. 161 Juan Ponce De Leon School,628 TINTON AVENUE,40.814168,-73.905233,7,Elementary,"PK,0K,01,02,03,04,05",False,41.86746979,332.0
